CM,MM,CL,LL
-0.173286795,-0.415888308,0.47235534,0.73795326
-0.297063077,-0.415888308,0.304098831,0.752038698
-0.173286795,-0.277258872,0.44058528,0.874599927
-0.259930193,-0.519860385,0.482306328,0.677272831
-0.198042052,-0.297063077,0.429284763,0.70853301
-0.23104906,-0.415888308,0.482306328,0.677272831
