CM,MM,CL,LL
0.03492,0.032752,0.2307983,0.3487817
-0.124307,-0.0848348,0.2750251,0.3533878
0.111691,-0.14802,0.2781016,0.34314456
0.12014557,0.030884,0.259172,0.3122194
0.062403,-0.0771239,0.238338,0.3117955
0.0349203,-0.04926854,0.2499708,0.327931
