rate,P,F
3.5000 ,C,C
3.5,C,C
2.0000 ,C,C
2.833333333,C,C
1.666666667,C,C
2.166666667,C,C
1.166666667,C,M
0.666666667,C,M
1.5,C,M
1.666666667,C,M
1.3333 ,C,M
1.166666667,C,M
0.5,M,C
0.5,M,C
0.833333333,M,C
0.5,M,C
0.5000 ,M,C
1.166666667,M,M
0.666666667,M,M
0.5000 ,M,M
1.1667 ,M,M
0.666666667,M,M
