rate,P,F
0.406286464,C,C
0.402980604,C,C
0.499523976,C,C
0.39961918,C,C
0.402980604,C,C
0.415888308,C,C
0.47235534,C,M
0.304098831,C,M
0.44058528,C,M
0.482306328,C,M
0.429284763,C,M
0.482306328,C,M
0.31430433,M,C
0.162186043,M,C
0.34657359,M,C
0.34657359,M,C
0.227886857,M,C
0.152715122,M,C
0.73795326,M,M
0.752038698,M,M
0.874599927,M,M
0.677272831,M,M
0.70853301,M,M
0.677272831,M,M
