rate,P,F
4.4,C,C
6.25,C,C
2.8,C,C
4.2,C,C
2.1,C,C
3.45,C,C
2.75,C,M
1,C,M
2.583333333,C,M
3,C,M
2.25,C,M
2,C,M
1,M,C
1.333333333,M,C
1.666666667,M,C
0.75,M,C
1.166666667,M,C
1.833333333,M,M
1.333333333,M,M
1.333333333,M,M
2.4,M,M
1.25,M,M
