rate,P,F
0.225782,C,C
0.2737439,C,C
0.2076971,C,C
0.270353,C,C
0.24351405,C,C
0.2525589,C,C
0.2307983,C,M
0.2750251,C,M
0.2781016,C,M
0.259172,C,M
0.238338,C,M
0.2499708,C,M
0.2829057,M,C
0.312013,M,C
0.3012271,M,C
0.3018504,M,C
0.28725991,M,C
0.3139548,M,C
0.3487817,M,M
0.3533878,M,M
0.34314456,M,M
0.3122194,M,M
0.3117955,M,M
0.327931,M,M
