rate,P,F
0.402359478,C,C
0.414557019,C,C
0.382869093,C,C
0.408532631,C,C
0.453094689,C,C
0.340949618,C,C
-0.173286795,C,M
-0.297063077,C,M
-0.173286795,C,M
-0.259930193,C,M
-0.198042052,C,M
-0.23104906,C,M
-0.415888308,M,C
-0.46209812,M,C
-0.519860385,M,C
-0.326943084,M,C
-0.46209812,M,C
-0.326943084,M,C
-0.415888308,M,M
-0.415888308,M,M
-0.277258872,M,M
-0.519860385,M,M
-0.297063077,M,M
-0.415888308,M,M
