offspring,P,F
3,C,C
6,C,C
6,C,C
6,C,C
6,C,C
7,C,C
8,C,C
7,C,C
5,C,C
3,C,C
7,C,C
7,C,C
6,C,C
4,C,C
2,C,C
6,C,C
5,C,C
3,C,M
4,C,M
4,C,M
5,C,M
4,C,M
6,C,M
4,C,M
4,C,M
4,C,M
4,C,M
3,C,M
3,M,C
3,M,C
5,M,C
3,M,C
3,M,C
4,M,M
3,M,M
3,M,M
4,M,M
4,M,M
3,M,M
4,M,M
