E,P,F,rate
7,C,C,84
6.833333333,C,C,82
6.666666667,C,C,80
7,C,C,84
6.5,C,C,78
6,C,C,72
4.5,C,M,54
6.166666667,C,M,74
4.5,C,M,54
4.833333333,C,M,58
5.833333333,C,M,70
5.333333333,C,M,64
3.666666667,M,C,44
4.166666667,M,C,50
4.5,M,C,54
5,M,C,60
4.666666667,M,C,56
5.833333333,M,M,70
5.166666667,M,M,62
4.666666667,M,M,56
5.25,M,M,63
5.166666667,M,M,62
