rate,P,F
0.2720623,C,C
0.2258962,C,C
0.148607,C,C
0.20593,C,C
0.11708,C,C
0.167238,C,C
0.03492,C,M
-0.124307,C,M
0.111691,C,M
0.12014557,C,M
0.062403,C,M
0.0349203,C,M
-0.2065,M,C
-0.148019,M,C
-0.04139,M,C
-0.187993,M,C
-0.159296,M,C
0.032752,M,M
-0.0848348,M,M
-0.14802,M,M
0.030884,M,M
-0.0771239,M,M
