rate,P,F
0.406286464,C,C
0.402980604,C,C
0.499523976,C,C
0.39961918,C,C
0.402980604,C,C
0.415888308,C,C
0.47235534,C,L
0.304098831,C,L
0.44058528,C,L
0.482306328,C,L
0.429284763,C,L
0.482306328,C,L
0.31430433,L,C
0.162186043,L,C
0.34657359,L,C
0.34657359,L,C
0.227886857,L,C
0.152715122,L,C
0.73795326,L,L
0.752038698,L,L
0.874599927,L,L
0.677272831,L,L
0.70853301,L,L
0.677272831,L,L
