rate,P,F
2.8333,C,C
3.333333333,C,C
2.6667,C,C
3.333333333,C,C
3,C,C
3.333333333,C,C
2.5,C,L
3.166666667,C,L
3.333333333,C,L
3,C,L
3,C,L
2.833333333,C,L
3.666666667,L,C
4,L,C
4.166666667,L,C
4.166666667,L,C
3.8333,L,C
4.166666667,L,C
4.833333333,L,L
5.333333333,L,L
4.6667,L,L
4.1667,L,L
3.833333333,L,L
4,L,L
