rate,P,F
0.225782,C,C
0.2737439,C,C
0.2076971,C,C
0.270353,C,C
0.24351405,C,C
0.2525589,C,C
0.2307983,C,L
0.2750251,C,L
0.2781016,C,L
0.259172,C,L
0.238338,C,L
0.2499708,C,L
0.2829057,L,C
0.312013,L,C
0.3012271,L,C
0.3018504,L,C
0.28725991,L,C
0.3139548,L,C
0.3487817,L,L
0.3533878,L,L
0.34314456,L,L
0.3122194,L,L
0.3117955,L,L
0.327931,L,L
