rate,P,F
3.5,C,C
3.333333333,C,C
3.066666667,C,C
3.4,C,C
3.066666667,C,C
3.5,C,C
2.583333333,C,L
3.733333333,C,L
4.183333333,C,L
4.016666667,C,L
3.583333333,C,L
3.666666667,C,L
4.166666667,L,C
4.366666667,L,C
4.766666667,L,C
5.166666667,L,C
4.633333333,L,C
4.633333333,L,C
5.666666667,L,L
5.7,L,L
4.916666667,L,L
4.916666667,L,L
4.033333333,L,L
4,L,L
